title,image_path,paragraph
,/assets/img/values/purpose.jpeg,"Michigan Electric Boat is established for the purpose of advancing sustainable technology and promoting its capabilities by representing the University of Michigan in the Promoting Electric Propulsion for Small Craft competition. Our mission is to allow members to apply what they have learned in the classroom and improve themselves as students through hands-on projects in engineering, business, and operations."
Collaboration,/assets/img/values/collaboration.jpg,"No one member is capable of creating such an ambitious project on their own. UMEB members thrive in the pursuit of over 11 different majors across an array of different colleges and apply the knowledge they learn from said classes on our boat."
Innovation,/assets/img/values/innovation.png,"No idea is a bad idea. UMEB is a safe place to take risks and fully unleash one's creativity. We offer a chance for members to apply their theoretical skills to an actual project. Of course, with a chance to add their own twist of creativity as well."
Adaptability,/assets/img/values/adaptability.png,"UMEB does not settle for less. As such, our designs are ambitious, and our timeline is tight. We often face many setbacks, but we remain undeterred. Adaptability is an integral part of who we are, and it allows us to strive for greatness. We were founded in the uncertain times that were the pandemic, but have grown to what we are today."
Sustainability,/assets/img/values/sustainability.jpg,"We are committed to carbon-neutrality. This commitment to sustainability is deep-seated in UMEB's mission. Our vessels are charged with solar energy, decreasing our reliance on fossil fuels."
