name,image_path,url
University of Michigan Eletrical & Computer Engineering,./assets/img/sponsors/electrical-and-comp-engin.png,about:blank
University of Michigan Mechanical Engineering,./assets/img/sponsors/mechanical.png,about:blank
University of Michigan Nuclear Engineering & Radiological Sciences,./assets/img/sponsors/nuclear-engineering.png,about:blank
EVolve Electrics,./assets/img/sponsors/evolve.png,about:blank
Rincon Power,./assets/img/sponsors/rincon-power.png,about:blank
Sabelt,./assets/img/sponsors/sabelt.png,about:blank
